ledger,snapshot_date,no_clustering,entropy,entropy_percentage,gini,hhi,nakamoto_coefficient,theil_index,max_power_ratio,tau_index
ethereum,Nov-2021,True,3.6487492680494173,0.26479717561328964,0.99923636304598,1493.679279845603,2,7.022040018872193,0.26910646988230835,5
ethereum,Dec-2021,True,3.802690556137769,0.27596900883652964,0.9991729759663325,1366.5172285852595,3,6.915336049062001,0.2984585440628482,6
ethereum,Jan-2022,True,3.8219107863027415,0.27736386013719,0.9991596925042316,1361.5090253433914,3,6.902013600713432,0.3068122336050251,6
ethereum,Feb-2022,True,3.8002296077369557,0.2757904127922436,0.9991708348440035,1381.2928179993007,3,6.917041848507516,0.3111415595752439,6
ethereum,Mar-2022,True,3.8411963592798526,0.2787634534989868,0.9991599392759996,1304.0300906367072,3,6.888645860178852,0.29444235353155185,6
ethereum,Apr-2022,True,3.8883347096041785,0.282184379715609,0.9991417174878643,1234.949991816748,3,6.855972045555309,0.27916553581494397,6
ethereum,May-2022,True,3.8735767783252593,0.2811133665454873,0.9991520614931968,1235.6865160298169,3,6.866201464012184,0.27847622599677796,6
ethereum,Jun-2022,True,3.923105385910051,0.28470775860617364,0.9991152015557351,1215.4489656840528,3,6.831870849307725,0.2790631248214796,6
ethereum,Jul-2022,True,3.915298131286577,0.28414117021609364,0.9991224781689628,1232.3858046745327,3,6.837282425837899,0.28474610155937624,6
ethereum,Aug-2022,True,3.842632402269012,0.278867670067365,0.9991725832718895,1270.571576203261,3,6.887650471029761,0.2873130526916337,6
ethereum,Sep-2022,True,5.351950676666535,0.38840197533237,0.9936339500036744,586.5615876578557,6,5.84147076456405,0.12681458367712287,11
ethereum,Oct-2022,True,4.736127648635008,0.34371044228341735,0.9918610597619866,1053.1310574250858,4,6.268326760166702,0.24364423011920588,6
ethereum,Nov-2022,True,4.3347745279697065,0.31458342780029663,0.9926612296089248,1305.5531978454474,3,6.546523544165296,0.24796744181714891,5
ethereum,Dec-2022,True,4.533022662891404,0.3289706992572722,0.9927203177714988,1116.937688748778,3,6.409108408393769,0.19330858368325254,5
ethereum,Jan-2023,True,4.3607932767352775,0.3164716614606484,0.9930786248093026,1346.3073833958877,3,6.528488721817346,0.22294625728413298,5
ethereum,Feb-2023,True,4.219483819040769,0.3062165459303465,0.9933073420946398,1385.3480442442517,3,6.626436974004135,0.22553847385699416,4
ethereum,Mar-2023,True,4.33113274515676,0.31431913619453744,0.993205553398812,1218.3362686134312,3,6.549047835653899,0.20134584253460966,4
ethereum,Apr-2023,True,5.017137174067736,0.36410387663271604,0.9893063287143163,867.2070155960972,4,6.073545799903561,0.1468084503316264,6
ethereum,May-2023,True,4.628876887762424,0.33592703584052447,0.9908708572833982,1074.8728888735016,4,6.342667322679523,0.1855449838393665,5
ethereum,Jun-2023,True,4.91160918448729,0.35644549521589997,0.9906945111567155,897.0630718884961,4,6.146692228351794,0.17261446980923262,6
ethereum,Jul-2023,True,4.56558554255598,0.3313338538430146,0.9921464573465109,1057.9348772089315,4,6.3865375401627915,0.19474117796165197,5
ethereum,Aug-2023,True,4.285206667256231,0.31098618706000924,0.9931383675190745,1291.1727751706856,3,6.580881367065477,0.2380407247255643,5
litecoin,Jan-2018,True,2.978167117215238,0.2597026122156612,0.997853178620113,1628.5719537164382,3,5.884430314279532,0.2499861365274774,4
