ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2015-09-01,True,False,percentage,0.5,False,False,8.541593940640224,14.63222841432925,0.9744549373735716,2833853,540,3078,15478,0.0127790527127851,4.714859957038213
bitcoin,2015-10-01,True,False,percentage,0.5,False,False,8.332369507433476,14.697148907735896,0.9752030015945538,3035785,576,3243,16299,0.0129575730453345,4.738693270460762
bitcoin,2015-11-01,True,False,percentage,0.5,False,False,7.485743680798552,14.7822218099553,0.9745558055090332,3087884,634,3408,17055,0.0106872492287577,4.696741254710107
bitcoin,2015-12-01,True,False,percentage,0.5,False,False,6.9812514071754075,14.833429816043372,0.974727475612694,3241649,642,3435,17593,0.0106039157542914,4.7098426540046825
bitcoin,2016-01-01,True,False,percentage,0.5,False,False,7.560759689529226,14.983335748004334,0.9711543908091048,3564205,677,3756,19919,0.0111292605128009,4.700794656474353
bitcoin,2016-02-01,True,False,percentage,0.5,False,False,7.342356781771987,14.918799344339078,0.9734595373731092,3650854,662,3599,18295,0.011039893891104,4.769547967912917
bitcoin,2016-03-01,True,False,percentage,0.5,False,False,7.372969166250779,15.012358145203386,0.9722180390597244,3872107,700,3808,19754,0.0103525093227577,4.763535639317885
bitcoin,2016-04-01,True,False,percentage,0.5,False,False,6.9769490878082046,14.79104085623259,0.9780165443305272,3859681,608,3218,16268,0.0097703892867039,4.913726828542382
bitcoin,2016-05-01,True,False,percentage,0.5,False,False,6.408111473939143,14.883961873397062,0.9779578952111287,4115818,633,3439,17245,0.0093772744820421,4.9135719492600485
bitcoin,2016-06-01,True,False,percentage,0.5,False,False,6.789842462134927,14.8276375737937,0.97849439292658,4335393,556,3228,16976,0.0095790444791794,5.004587642783081
bitcoin,2016-07-01,True,False,percentage,0.5,False,False,6.723408839489143,14.911994302596456,0.9785615110317892,4611967,632,3427,17513,0.0097333088552603,5.007958197636095
bitcoin,2016-08-01,True,False,percentage,0.5,False,False,6.472872615300473,14.949987196217997,0.9788078136655683,4854903,648,3510,17994,0.0093097304943067,5.032958205750837
bitcoin,2016-09-01,True,False,percentage,0.5,False,False,5.78931594653482,15.053497278427828,0.9790069354603548,5121906,718,3800,19072,0.008518184089945,5.014747997180191
bitcoin,2016-10-01,True,False,percentage,0.5,False,False,5.964052233026584,15.06305951217913,0.9795696497325068,5460244,706,3856,19616,0.008487770693584,5.072086803937268
bitcoin,2016-11-01,True,False,percentage,0.5,False,False,5.969168266658599,15.110230662747735,0.9794768222319986,5730653,722,4012,20461,0.0084575679844127,5.0877262624339386
bitcoin,2016-12-01,True,False,percentage,0.5,False,False,6.314991223817877,15.152801310159663,0.9799555869916076,6237374,753,4194,21271,0.0084278467272923,5.142948312726426
bitcoin,2017-01-01,True,False,percentage,0.5,False,False,6.129050600836747,15.215161772650104,0.9800961177585226,6642889,775,4421,22469,0.0077749075703646,5.162711032755623
bitcoin,2017-02-01,True,False,percentage,0.5,False,False,5.8189248561241484,15.274583560722473,0.980168544104414,6928084,803,4672,23372,0.0076971052980232,5.1635593245125815
bitcoin,2017-03-01,True,False,percentage,0.5,False,False,5.691736666497205,15.312731080891172,0.980474542438128,7269380,834,4774,23941,0.007671823409201,5.185205188504164
bitcoin,2017-04-01,True,False,percentage,0.5,False,False,6.19293979085998,15.274530662802256,0.981169019301003,7681733,796,4506,23154,0.0084560337241044,5.266857867546387
bitcoin,2017-05-01,True,False,percentage,0.5,False,False,5.634160185198291,15.322700689556427,0.9815590336076528,8166549,813,4620,23628,0.0076184710453336,5.294670197264275
bitcoin,2017-06-01,True,False,percentage,0.5,False,False,5.76480400886869,15.344114389237111,0.981674688764526,8909381,795,4610,23857,0.0075902719159657,5.366885697465849
bitcoin,2017-07-01,True,False,percentage,0.5,False,False,5.703997047429751,15.342593549345226,0.9823068181618868,9205730,803,4564,23485,0.0075644069887322,5.400661213136114
bitcoin,2017-08-01,True,False,percentage,0.5,False,False,5.361504602540997,15.415058009812965,0.9823323949963724,9197041,869,4877,24755,0.0075363076700536,5.349488362157245
bitcoin,2017-09-01,True,False,percentage,0.5,False,False,4.849070663480613,15.440442304949048,0.982696956554257,9676109,865,4853,24589,0.00721706871478,5.382671365375725
bitcoin,2017-10-01,True,False,percentage,0.5,False,False,4.925129164586936,15.496478642900998,0.9823439297133612,10050122,893,5111,25934,0.0068702822403812,5.381754851624821
bitcoin,2017-11-01,True,False,percentage,0.5,False,False,5.586566866836995,15.525084881901764,0.9818556970335256,10693105,882,5180,27487,0.0101961835365996,5.423940885307703
bitcoin,2017-12-01,True,False,percentage,0.5,False,False,5.30005558489894,15.611613642224766,0.9810811791110756,11730497,915,5485,29135,0.0080030362036693,5.456556609339667
bitcoin,2018-01-01,True,False,percentage,0.5,False,False,6.070120463785332,15.611177188974857,0.9805497221353576,13510602,842,5286,29706,0.0106859604806949,5.598141814616918
bitcoin,2018-02-01,True,False,percentage,0.5,False,False,6.282933579878775,15.56298687360586,0.9813152813384596,13654530,802,5107,28783,0.0106456764827457,5.642141420068125
bitcoin,2018-03-01,True,False,percentage,0.5,False,False,6.766084831037988,15.466127532420176,0.9806696666853428,12203498,746,4771,26904,0.0099006222201713,5.596930496497651
bitcoin,2018-04-01,True,False,percentage,0.5,False,False,6.870249652769498,15.461766576010298,0.9784355684283218,10882537,739,4728,26912,0.0108670628902138,5.4853900437318
bitcoin,2018-05-01,True,False,percentage,0.5,False,False,7.017454834239639,15.464072138452568,0.9785274193741884,11093037,742,4776,27173,0.0109584200350566,5.5029501694611085
bitcoin,2018-06-01,True,False,percentage,0.5,False,False,6.985346960086044,15.46150875458799,0.9787162547807188,11230398,725,4689,27099,0.0102704423950878,5.517033566189287
bitcoin,2018-07-01,True,False,percentage,0.5,False,False,7.1629952973787026,15.448057220093276,0.9787997792993668,11347925,706,4637,26889,0.0109498183047274,5.536768158477459
bitcoin,2018-08-01,True,False,percentage,0.5,False,False,7.022995176908611,15.470908765995262,0.9778723389730116,10941950,726,4699,27113,0.0107993956292254,5.48449779219485
bitcoin,2018-09-01,True,False,percentage,0.5,False,False,7.213432983888942,15.44373262203891,0.9778495030007572,11048232,704,4480,26304,0.0110678961558135,5.513001248811853
bitcoin,2018-10-01,True,False,percentage,0.5,False,False,6.918712375043476,15.440287112107962,0.9780422041358472,11223373,692,4390,25914,0.0097608841533671,5.531117557940727
bitcoin,2018-11-01,True,False,percentage,0.5,False,False,6.212770403967957,15.464999033002009,0.9784670443409716,11371510,728,4411,25597,0.0078529109595176,5.527101185394535
bitcoin,2018-12-01,True,False,percentage,0.5,False,False,6.110379721228632,15.434211332747156,0.9786993673007004,11420265,715,4208,24072,0.0079709622370401,5.552719897297859
bitcoin,2019-01-01,True,False,percentage,0.5,False,False,5.387847835004357,15.52822315609338,0.9781959411402966,11250469,771,4300,24489,0.0079459801169007,5.472576275024502
bitcoin,2019-02-01,True,False,percentage,0.5,False,False,5.521987561987102,15.551379041883193,0.9779419747096142,11473562,782,4376,25237,0.0079203672360967,5.476161453355565
bitcoin,2019-03-01,True,False,percentage,0.5,False,False,5.3235073445640815,15.577135295834465,0.977782187737253,11588729,794,4452,25515,0.0074041305575325,5.468296134328547
bitcoin,2019-04-01,True,False,percentage,0.5,False,False,5.40592911118851,15.569896530872793,0.9779390809989242,11917427,782,4375,25284,0.0072667551647516,5.50128245864904
bitcoin,2019-05-01,True,False,percentage,0.5,False,False,5.07675609141256,15.580897514311625,0.9782899716017758,12234648,788,4298,25072,0.0071199539004274,5.519927301915064
bitcoin,2019-06-01,True,False,percentage,0.5,False,False,4.830906581437719,15.602200738056707,0.9783046166615684,12710345,780,4313,25485,0.006814244360635,5.54330533468291
bitcoin,2019-07-01,True,False,percentage,0.5,False,False,5.17922602460871,15.578801226689816,0.978524242906209,13004067,760,4217,25059,0.0084903863722182,5.582370565809296
bitcoin,2019-08-01,True,False,percentage,0.5,False,False,5.20977613904628,15.653880431924078,0.9783446550068778,13345341,819,4401,26371,0.0084620913196912,5.55623480700656
bitcoin,2019-09-01,True,False,percentage,0.5,False,False,5.275392966807894,15.7150552054865,0.978136206560523,13475058,859,4661,28601,0.0091176698462859,5.523504770756571
bitcoin,2019-10-01,True,False,percentage,0.5,False,False,5.349508736234147,15.705750329814116,0.977978454944856,13626057,876,4520,27339,0.0088433845336351,5.541097913790249
bitcoin,2019-11-01,True,False,percentage,0.5,False,False,5.338378196342915,15.704449034383424,0.9784300010848548,13956192,856,4541,27407,0.0099818253188203,5.565939268235415
bitcoin,2019-12-01,True,False,percentage,0.5,False,False,6.16066544876114,15.64090155440562,0.978829501207122,14178108,815,4353,25836,0.0141395733622915,5.625762829186775
bitcoin,2020-01-01,True,False,percentage,0.5,False,False,6.2895004300711745,15.648050680305907,0.9786346348634932,14257347,810,4377,26305,0.0140946530082831,5.626380700516746
bitcoin,2020-02-01,True,False,percentage,0.5,False,False,6.263958741457695,15.659906043742076,0.97884470734888,14476712,818,4416,26589,0.0140488062136752,5.633432125082949
bitcoin,2020-03-01,True,False,percentage,0.5,False,False,6.403290414584811,15.682450765300253,0.9788983586941604,14720340,838,4457,27102,0.0140089203789615,5.634494236467438
bitcoin,2020-04-01,True,False,percentage,0.5,False,False,6.364390898526109,15.67318154519755,0.9783968723629112,14984849,792,4335,27174,0.0139683275066052,5.658728583558271
bitcoin,2020-05-01,True,False,percentage,0.5,False,False,5.873928225002342,15.734222500878918,0.9778882169873788,15215358,816,4481,28369,0.0139256097157618,5.631683905707006
bitcoin,2020-06-01,True,False,percentage,0.5,False,False,5.667466902747132,15.737618429942769,0.9775948358961354,15058103,814,4429,28130,0.0138977029431387,5.618940966152074
bitcoin,2020-07-01,True,False,percentage,0.5,False,False,5.5261069051972465,15.761987332358467,0.97747360324208,15195783,828,4458,28469,0.0138761758176888,5.6111514336734265
bitcoin,2020-08-01,True,False,percentage,0.5,False,False,5.57242663905709,15.746977808654057,0.9777746745825904,15507415,825,4367,27747,0.0138546223618938,5.641855584335541
bitcoin,2020-09-01,True,False,percentage,0.5,False,False,5.373728182206973,15.757568433050915,0.9778657666474646,15654015,839,4347,27714,0.013400229157987,5.643923859834915
bitcoin,2020-10-01,True,False,percentage,0.5,False,False,5.058547038804361,15.747762529141587,0.9781992790186316,15897330,826,4283,27000,0.01229850352129,5.666144531162897
