ledger,snapshot_date,entropy,hhi,max_power_ratio,total_entities,theil_index
tezos-mirror,2022-12-31,0.9284696990362244,6056.0,0.74,3,0.4550461345458096
tezos-mirror,2023-01-05,0.6273635558851669,7846.0,0.88,4,0.9514390811720257
tezos-mirror,2023-01-09,0.19439185783157623,9418.0,0.97,2,0.5584050123801785
tezos-mirror,2023-01-11,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-01-12,0.5221791902022728,8488.0,0.92,4,1.0243473276841097
tezos-mirror,2023-01-15,0.3224933618603243,9042.0,0.95,3,0.8750769241453275
tezos-mirror,2023-01-17,0.6060906530347481,8144.0,0.9,4,0.9661843338051188
tezos-mirror,2023-01-19,1.7520195614149574,4156.0,0.61,7,0.7315027297746634
tezos-mirror,2023-01-22,0.28639695711595625,9050.0,0.95,2,0.4946319372140727
tezos-mirror,2023-01-23,0.3624933618603243,9034.0,0.95,4,1.1350331093747108
tezos-mirror,2023-01-27,0.9118101744920113,7292.0,0.85,6,1.1597408175730457
tezos-mirror,2023-02-02,1.4449516123708082,5766.0,0.75,9,1.1956604411758467
tezos-mirror,2023-02-05,1.2566224587658101,6078.0,0.77,7,1.0748858347334858
tezos-mirror,2023-02-09,0.6375431233120146,8136.0,0.9,5,1.167526694024996
tezos-mirror,2023-02-13,1.5599784747117027,5130.0,0.7,8,0.9981468601992153
tezos-mirror,2023-02-15,0.3022921890824148,9222.0,0.96,4,1.176761382552121
tezos-mirror,2023-02-18,0.48176306719391104,8346.0,0.91,3,0.7646795769447388
tezos-mirror,2023-02-22,0.8462232015688287,7188.0,0.84,5,1.0228806861422566
tezos-mirror,2023-02-25,0.686090653034748,8124.0,0.9,6,1.3161976674684874
tezos-mirror,2023-02-28,0.6650919983336493,8132.0,0.9,6,1.3307528257701058
tezos-mirror,2023-03-02,0.8532047811652536,7460.0,0.86,6,1.2003629807230942
tezos-mirror,2023-03-06,0.2747433140607801,9226.0,0.96,3,0.9081747351491843
tezos-mirror,2023-03-08,0.24194073285321088,9412.0,0.97,4,1.2185938242800807
tezos-mirror,2023-03-09,0.19439185783157623,9418.0,0.97,2,0.5584050123801785
tezos-mirror,2023-03-13,0.48217919020227284,8496.0,0.92,3,0.7643911424547264
tezos-mirror,2023-03-15,0.08079313589591118,9802.0,0.99,2,0.637145646205098
tezos-mirror,2023-03-16,0.41499379417611093,8850.0,0.94,4,1.0986425827368451
tezos-mirror,2023-03-20,0.3022921890824148,9222.0,0.96,4,1.176761382552121
tezos-mirror,2023-03-22,0.6273635558851669,7846.0,0.88,4,0.9514390811720257
tezos-mirror,2023-03-23,0.5942141921722763,8308.0,0.91,5,1.1975600204811816
tezos-mirror,2023-03-27,0.883681084568942,7292.0,0.85,5,0.9969168601509836
tezos-mirror,2023-03-29,0.7611720959865524,7486.0,0.86,4,0.8586900688659078
tezos-mirror,2023-03-31,0.14144054254182067,9608.0,0.98,2,0.5951080672802133
tezos-mirror,2023-04-02,0.7920074903522685,7778.0,0.88,6,1.2427817103080219
tezos-mirror,2023-04-04,0.0,10000.0,1.0,1,0.0
