ledger,date,no_clustering,entropy,entropy_percentage,gini,hhi,nakamoto_coefficient,theil_index,max_power_ratio,tau_index
dogecoin,Apr-2023,False,8.275242050534484,0.4337483568301388,0.9875876284015672,670.8785532282368,5,7.488206278945904,0.1544172051497065,2903
dogecoin,May-2023,False,8.40269086933991,0.4404286104588802,0.9867652279854264,696.3832923313656,5,7.399865489516358,0.1703274523306342,3244
dogecoin,Jun-2023,False,6.692910641290248,0.3508101606385149,0.9991507283864388,706.4701030497137,5,8.584994833971676,0.1849518161601186,206
dogecoin,Jul-2023,False,8.095398592186147,0.4243218283891729,0.9896149733717946,674.516152335133,5,7.612864265042763,0.1698023964683624,1848
dogecoin,Aug-2023,False,7.84133312881979,0.4110049397000587,0.9910867632020324,807.1152261582755,4,7.788969024652945,0.2045482596889657,1624
ethereum,Jan-2018,False,3.064446557914972,0.224348282934746,0.9994969134444792,1698.2826234545023,2,7.343811505008528,0.2623651386170164,4
ethereum,Feb-2018,False,3.161816579013979,0.231476746959175,0.9994620674448736,1579.901716406373,3,7.276319749412703,0.2577623820932632,4
ethereum,Mar-2018,False,3.1742545626426946,0.2323873323511981,0.9994519792570576,1602.6797310585132,3,7.267698396128609,0.2777862470735558,4
ethereum,Apr-2018,False,3.250079214407126,0.2379384588290081,0.9994002468326738,1564.1049912933104,3,7.215140752541147,0.2714550342241398,4
ethereum,May-2018,False,3.3082533464793764,0.2421973898937118,0.9993692783010631,1542.9300026832266,3,7.174817516913751,0.2720029982793965,4
ethereum,Jun-2018,False,3.2996453883152275,0.2415672008539607,0.999364884317982,1562.6389209841584,3,7.18078409884563,0.2706374691350869,4
ethereum,Jul-2018,False,3.3172186102060643,0.242853737291236,0.9993464287808688,1593.2827034727627,3,7.168603269638588,0.2836265000821963,4
ethereum,Aug-2018,False,3.481917322483413,0.2549113381019114,0.9992560492257374,1528.8075617721588,3,7.054442821581707,0.2909077031278111,4
ethereum,Sep-2018,False,3.632515568236572,0.2659366430661768,0.999186629156398,1388.99544728946,3,6.950056072140638,0.2690381149308358,4
ethereum,Oct-2018,False,3.353885379161341,0.2455381132463769,0.9993288508414812,1594.6646439012209,3,7.1431878021170165,0.265069425823988,4
ethereum,Nov-2018,False,3.3813780881477897,0.2475508558208571,0.9993133674077608,1578.0239239750504,3,7.124131308397116,0.2670423459897144,4
ethereum,Dec-2018,False,3.4166665175958437,0.2501343234730133,0.9993027242883038,1567.6038380668886,3,7.099671233018818,0.2821551691582281,4
ethereum,Jan-2019,False,3.383854357955617,0.247732143655045,0.9993034593275164,1621.8975511712863,2,7.122414888961523,0.2767457408579171,4
ethereum,Feb-2019,False,3.4324959682833716,0.2512931983348949,0.9992944519638918,1570.599202191716,3,7.088699093904924,0.2907322626941302,4
ethereum,Mar-2019,False,3.3209963770585764,0.2431303077879542,0.9993535039891336,1637.309997344813,2,7.165984721195966,0.2746261284192805,4
ethereum,Apr-2019,False,3.366261518857371,0.2464441710410523,0.999334631938325,1588.3761876265517,3,7.134609315780513,0.2597654120347053,4
ethereum,May-2019,False,3.3400585916327103,0.2445258534526665,0.9993487681505344,1626.7895894088283,2,7.1527718009086785,0.2549918166939443,4
ethereum,Jun-2019,False,3.337323651159148,0.2443256283263422,0.999349910698737,1634.2352289597163,2,7.154667517186965,0.263248691808952,4
ethereum,Jul-2019,False,3.4007321324323723,0.2489677663529968,0.9993161481549278,1583.9028797663605,2,7.1107161071688285,0.2519990563149097,4
ethereum,Aug-2019,False,3.418498787925344,0.2502684640737798,0.9993192988817255,1556.6633742015852,3,7.09840120000588,0.2599493823138797,4
ethereum,Sep-2019,False,3.408551506895965,0.2495402231413196,0.9993210629648904,1599.3568698885676,2,7.105296129805637,0.2868824300972288,4
ethereum,Oct-2019,False,3.4165816044324178,0.2501281069761506,0.999302609955218,1633.7374702500583,2,7.099730090338629,0.2940753948038716,4
ethereum,Nov-2019,False,3.419276935628752,0.2503254323053446,0.9992868435984796,1688.9887721816883,2,7.097861829119224,0.3059614861224512,4
ethereum,Dec-2019,False,3.3567546235192856,0.2457481707666697,0.9993274466759116,1736.5310144272792,2,7.141198993479976,0.3136312562593126,4
ethereum,Jan-2020,False,3.3462397330463527,0.2449783751189836,0.9993383015774968,1762.8692967765762,2,7.148487360165156,0.3263777715520691,4
ethereum,Feb-2020,False,3.344374958684537,0.2448418548964157,0.9993454072693,1745.1656373468363,2,7.149779923256444,0.3199779471792534,4
ethereum,Mar-2020,False,3.3831818235848563,0.2476829073807478,0.999301862085236,1767.13174002741,2,7.122881054264446,0.3249340172302176,4
ethereum,Apr-2020,False,3.3892016136728533,0.2481236165085939,0.9993172695179252,1739.471945505907,2,7.118708453737371,0.3245696175178275,4
ethereum,May-2020,False,3.387287063093764,0.2479834521667159,0.9993261443707327,1722.6410592774132,2,7.1200355190733156,0.3245245987002193,4
ethereum,Jun-2020,False,3.520633959255555,0.2577457849805505,0.9992730106918842,1554.1359411584938,2,7.0276064939623515,0.2990123150673609,4
ethereum,Jul-2020,False,3.557519002403948,0.2604461408000843,0.9992449513915548,1520.8674581497996,2,7.00203973029922,0.2957280069526649,4
ethereum,Aug-2020,False,3.6171121546782814,0.2648089584034404,0.9992273861310328,1431.320859450558,3,6.960732904819576,0.2724285146942017,5
ethereum,Sep-2020,False,3.597014947425775,0.263337640873938,0.9992371196842448,1433.8634257477806,3,6.974663227363772,0.2647359052880497,5
ethereum,Oct-2020,False,3.524903064863687,0.2580583264116868,0.9992765856551672,1499.325400384054,3,7.0246473754465475,0.2789248692415262,4
ethereum,Nov-2020,False,3.5803888098279546,0.2621204405242456,0.9992400367350952,1473.25809798836,3,6.986187587763305,0.2753552004829805,4
ethereum,Dec-2020,False,3.701491043756268,0.2709863410148923,0.9991757384654656,1360.7922442767017,3,6.90224591575639,0.2572553023806809,5
ethereum,Jan-2021,False,3.6701169493775754,0.2686894420253138,0.9992202510865548,1327.4675393363166,3,6.923992780817609,0.2507527733755943,5
ethereum,Feb-2021,False,3.7489668015184736,0.2744620435711881,0.9991745710596912,1274.226634454543,3,6.86933822811856,0.2474769394740167,5
ethereum,Mar-2021,False,3.810369690138523,0.2789573520612518,0.9991404011879418,1219.0796878891842,3,6.826776988993321,0.2384827483419032,6
ethereum,Apr-2021,False,3.879785766039439,0.2840393063855048,0.999095860999752,1169.082430689598,3,6.778661431697072,0.23512583461736,6
ethereum,May-2021,False,3.791067049724363,0.277544204808989,0.9991578047581692,1221.1145816363576,3,6.840156559773775,0.241828694688277,6
ethereum,Jun-2021,False,3.7014330019262207,0.2709820917696654,0.9992157097871172,1259.226106706212,3,6.90228614728724,0.2274871954058668,6
ethereum,Jul-2021,False,3.6827582885554806,0.2696149150870755,0.999228685253891,1281.0392263908195,3,6.915230472207937,0.249975989607291,5
ethereum,Aug-2021,False,3.764151684813989,0.2755737296226594,0.99918940385372,1179.9466788639793,3,6.858812869075144,0.2187398481660477,6
ethereum,Sep-2021,False,3.788454368005464,0.2773529302520952,0.9991842196291874,1117.2485950283196,3,6.841967532740946,0.2146202423798041,6
ethereum,Oct-2021,False,3.7786238430905743,0.2766332370405081,0.9991201461985368,1344.6938355548768,3,6.848781533369118,0.2567136406615799,6
ethereum,Nov-2021,False,3.618176403673826,0.2648868721246469,0.999198561386632,1499.4502652988615,2,6.959995223628898,0.2691064698823083,5
ethereum,Dec-2021,False,3.7780070555816265,0.2765880819967007,0.9991232979602588,1370.2394811967524,3,6.849209057891956,0.2984585440628482,6
ethereum,Jan-2022,False,3.734430964092107,0.273397874199658,0.999161777604038,1393.468458853048,3,6.879413702847725,0.3068122336050251,5
ethereum,Feb-2022,False,3.543740919620513,0.2594374466831604,0.999291617595646,1466.0081195328148,3,7.011589969534062,0.3111415595752439,5
ethereum,Mar-2022,False,3.5794237016945583,0.2620497849104237,0.9992820926701772,1385.4015277844871,3,6.9868565497449024,0.2944423535315518,5
ethereum,Apr-2022,False,3.628541414477673,0.2656456950744017,0.9992623321504316,1318.09239278644,3,6.952810745613735,0.2791655358149439,5
ethereum,May-2022,False,3.6383033253633505,0.266360365049542,0.9992557424418737,1313.184268575678,3,6.9460443046064535,0.2784762259967779,5
ethereum,Jun-2022,False,3.6792118933520537,0.2693552833201446,0.9992295074301482,1293.6449667401316,3,6.91768864604434,0.2790631248214796,5
ethereum,Jul-2022,False,3.6210543883243576,0.2650975695221889,0.9992595047311112,1341.4835345350075,3,6.9580003566826845,0.2847461015593762,5
ethereum,Aug-2022,False,3.579076166442028,0.2620243418375259,0.999283880866124,1368.3003202261723,3,6.9870974428253385,0.2873130526916337,5
ethereum,Sep-2022,False,5.073405276313794,0.3714242493259567,0.9935558522913858,656.5842539450387,5,5.9513074334895,0.12730964060867,9
ethereum,Oct-2022,False,4.1904390293234455,0.3067822470401012,0.9920962049011244,1600.6749526044691,3,6.563332998119987,0.3359442954683732,4
ethereum,Nov-2022,False,3.702487153407651,0.2710592662513679,0.9938191280209624,1782.020465637618,3,6.901555465160219,0.2479674418171489,3
ethereum,Dec-2022,False,3.618787951587029,0.2649316435773926,0.9943025818976582,1891.4105664120896,2,6.959571330917256,0.3124177764962424,3
ethereum,Jan-2023,False,3.452944649730607,0.2527902473074468,0.9956185640201868,2037.3857111719665,2,7.074525148014072,0.3410055030667663,3
ethereum,Feb-2023,False,3.3216763315170392,0.2431800872872364,0.9961434627938656,2019.2852483023908,2,7.165513412680267,0.3224487549043158,3
ethereum,Mar-2023,False,3.257955087371425,0.238515051875341,0.9965816268813356,1996.3560398823167,2,7.209681613401237,0.335290730101437,3
ethereum,Apr-2023,False,3.3006548631482153,0.2416411045560376,0.9946748420557476,2259.6173530412752,2,7.180084384211592,0.4048392887511574,3
