ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin_cash,2022-03-01,False,False,absolute,100,False,False,351.3988591746829,5.912580588599135,0.4422718831182393,100,5,17,35,0.1413981011040875,0.506881621167143
bitcoin_cash,2022-04-01,False,False,absolute,100,False,False,362.6715811898873,5.898934441271661,0.4431443501486501,100,5,17,35,0.1467216713105111,0.5163404097126789
bitcoin_cash,2022-05-01,False,False,absolute,100,False,False,398.4936524533821,5.7856607782390235,0.4749962311377446,100,4,14,32,0.1429738851096603,0.5948557298754527
bitcoin_cash,2022-06-01,False,False,absolute,100,False,False,423.4079331183665,5.703734370497682,0.5084416031718251,100,4,12,28,0.1380355819150435,0.6516427884147699
bitcoin_cash,2022-07-01,False,False,absolute,100,False,False,494.42737151940514,5.674595194720359,0.4937036677255731,100,4,13,30,0.1813362147864529,0.6718405259486628
bitcoin_cash,2022-08-01,False,False,absolute,100,False,False,512.0412262440279,5.655211889532481,0.5009420828056459,100,4,12,29,0.1893487779139224,0.6852760092895719
bitcoin_cash,2022-09-01,False,False,absolute,100,False,False,509.8672665205112,5.6636505748108545,0.4976340278067612,100,4,13,29,0.1876312642028686,0.6794267583812331
bitcoin_cash,2022-10-01,False,False,absolute,100,False,False,483.8693510193881,5.700124765094674,0.4902146182718168,100,4,13,30,0.1805487658182189,0.6541447762227967
bitcoin_cash,2022-11-01,False,False,absolute,100,False,False,488.208410997185,5.677170411564783,0.5003039971284656,100,4,12,29,0.180745268877155,0.6700555216536163
bitcoin_cash,2022-12-01,False,False,absolute,100,False,False,466.22471174213985,5.70597596132102,0.4979543614036231,100,4,13,29,0.1740977398461633,0.6500890360556043
bitcoin_cash,2023-01-01,False,False,absolute,100,False,False,467.130117659605,5.715262722448641,0.4938408489415343,100,4,13,30,0.1767065403659183,0.6436519437634562
bitcoin_cash,2023-02-01,False,False,absolute,100,False,False,470.3267436312374,5.7217740991689645,0.4940757157532782,100,4,14,29,0.1798750998778258,0.6391386013482029
bitcoin_cash,2023-03-01,False,False,absolute,100,False,False,483.6999864251092,5.712752757416494,0.4973470985706613,100,5,14,29,0.1859754486052241,0.6453917189487933
bitcoin_cash,2023-04-01,False,False,absolute,100,False,False,533.652313248129,5.65919977115534,0.5050274675741536,100,4,13,28,0.2007944671243798,0.682511820386279
bitcoin_cash,2023-05-01,False,False,absolute,100,False,False,515.7498212942547,5.643097530676113,0.520773815783488,100,4,12,26,0.1939085761059204,0.6936730429751543
bitcoin_cash,2023-06-01,False,False,absolute,100,False,False,512.6000920713718,5.655893090489935,0.5130131104987617,100,4,13,27,0.1922240817937329,0.684803836766518
bitcoin_cash,2023-07-01,False,False,absolute,100,False,False,608.0418670787493,5.562366432337965,0.5236764589787184,100,4,12,26,0.2191400319621226,0.7496315761717528
bitcoin_cash,2023-08-01,False,False,absolute,100,False,False,510.5020114157123,5.63099198990169,0.5268691247149452,100,4,12,25,0.1897250680809606,0.7020639644320974
bitcoin_cash,2023-09-01,False,False,absolute,100,False,False,519.2230448713125,5.627278798796834,0.5242261136205874,100,4,12,26,0.1923985235876188,0.704637752377312
bitcoin_cash,2023-10-01,False,False,absolute,100,False,False,493.1919710194439,5.657286060571887,0.521484061540939,100,5,12,26,0.1852404215560349,0.6838383034816117
bitcoin_cash,2023-11-01,False,False,absolute,100,False,False,482.93701912817664,5.6515518305024806,0.5243461124062494,100,4,12,25,0.1804020725005692,0.6878129688868969
bitcoin_cash,2023-12-01,False,False,absolute,100,False,False,469.2035479077088,5.66649507720924,0.5220771867839442,100,5,12,25,0.1757139055042528,0.6774550995636973
bitcoin_cash,2024-01-01,False,False,absolute,100,False,False,490.2844530945078,5.634899004822752,0.5261502415133791,100,4,11,25,0.1814812589575617,0.6993558280551595
